"id" "muestreo" "fecha" "nro.trampa" "tipo.trampa" "sitio" "sector" "especie" "edad" "cc1" "cc2" "BCS" "peso" "largo.total" "cola" "cuerpo" "BMI" "pata" "oreja" "sexo" "testiculos" "v.seminales" "vagina" "mamas" "gestante" "cicatrices.utero" "fetos" "heridas" "observaciones" "ratio.260.280" "dsDNA" "fecha.lectura" "extraccion" "dilucion" "18S" "LipL32" "Fecha.PCR" "comentarios"
"cs23" 3 "2015-09-27" "c4" "s" "colastine.sur" "borde" "akodon.azarae" "s" 3 2 2.5 18.2 15.4 7 8.4 1.36 18.8 14.2 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.73 133.86 "2016-03-22" 2 "si" NA "n" "2016-03-23" NA
"cs24" 3 "2015-09-27" "b2" "s" "colastine.sur" "borde" "oligoryzomys" "a" 1 1 1 19.6 20.2 12 8.2 1.41 24.2 14.1 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.79 96.91 "2016-03-22" 1 "si" "n" NA "2016-03-23" "Repetir extracci√≥n"
"cs24" 3 "2015-09-27" "b2" "s" "colastine.sur" "borde" "oligoryzomys" "a" 1 1 1 19.6 20.2 12 8.2 1.41 24.2 14.1 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.8 119.45 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"cs25" 3 "2015-09-27" "h5" "s" "colastine.sur" "centro" "oligoryzomys" "a" 3 2 2.5 10 16.7 10.1 6.6 1.22 21.35 13.5 "f" "" "" "p" "n" "n" "n" 0 "n" "muerto en la trampa" 1.71 29.68 "2016-03-22" 1 "si" "p" "n" "2016-03-23" NA
"lz01" 1 "2014-09-30" "h2" "s" "los.zapallos" "borde" "akodon.azarae" "a" 2 2 2 19 16 7.2 8.8 1.35 17 16 "f" "" "" "p" "n" "s" "" 0 "n" "GestaciÛn en etapas tempranas?" 1.13 3199.69 "2014-10-27" 1 "no" "p" "n" "2015-04-23" "Repetir extracci√≥n"
"lz01" 1 "2014-09-30" "h2" "s" "los.zapallos" "borde" "akodon.azarae" "a" 2 2 2 19 16 7.2 8.8 1.35 17 16 "f" "" "" "p" "n" "s" "" 0 "n" "GestaciÛn en etapas tempranas?" 1.76 109.16 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz02" 1 "2014-09-30" "g3" "s" "los.zapallos" "borde" "akodon.azarae" "a" 2 2 2 17.5 15.9 7.4 8.5 1.34 16 13 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.93 932.5 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz03" 1 "2014-09-30" "o5" "s" "los.zapallos" "natural" "oligoryzomys.nigripes" "j" 2 2 2 13 17.5 10.5 7 1.32 22 15 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.2 3122.13 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz03" 1 "2014-09-30" "o5" "s" "los.zapallos" "natural" "oligoryzomys.nigripes" "j" 2 2 2 13 17.5 10.5 7 1.32 22 15 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.74 94.73 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz04" 1 "2014-09-30" "d3" "s" "los.zapallos" "centro" "rattus?" "s" 3 3 3 106 30 13.5 16.5 1.66 29 21 "m" "" "" "" "" "n" "" 0 "n" "" 1.88 688.57 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz05" 1 "2014-09-30" "d4" "s" "los.zapallos" "centro" "rattus?" "s" 3 3 3 99.2 29 14 15 1.7 32 21 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.76 109.29 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz05" 1 "2014-09-30" "d4" "s" "los.zapallos" "centro" "rattus?" "s" 3 3 3 99.2 29 14 15 1.7 32 21 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.06 3125.36 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz06" 1 "2014-09-30" "b3" "s" "los.zapallos" "centro" "rattus?" "s" 3 2 2.5 119.6 32.5 15.7 16.8 1.7 32 22 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.77 158.77 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz06" 1 "2014-09-30" "b3" "s" "los.zapallos" "centro" "rattus?" "s" 3 2 2.5 119.6 32.5 15.7 16.8 1.7 32 22 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.2 3220.8 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz07" 1 "2014-09-30" "e4" "s" "los.zapallos" "centro" "rattus?" "a" 3 3 3 126.5 31.2 14.5 16.7 1.72 33 23 "f" "" "" "p" "n" "s" "" 3 "n" "" 1.93 2277.74 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz08" 1 "2014-09-30" "a2" "s" "los.zapallos" "centro" "rattus?" "s" 3 2 2.5 85 27.8 13 14.8 1.65 33 21 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.24 3205.48 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz08" 1 "2014-09-30" "a2" "s" "los.zapallos" "centro" "rattus?" "s" 3 2 2.5 85 27.8 13 14.8 1.65 33 21 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.76 108.4 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz09" 1 "2014-09-30" "e1" "s" "los.zapallos" "centro" "rattus?" "a" 2 2 2 184.2 31 13 18 1.8 34.6 22.7 "f" "" "" "p" "n" "s" "" 4 "n" "" 1.89 1939.73 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz10" 1 "2014-09-30" "d2" "s" "los.zapallos" "centro" "rattus?" "s" 3 3 3 143 32 14.4 17.6 1.73 34.5 22 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.1 3204.39 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz10" 1 "2014-09-30" "d2" "s" "los.zapallos" "centro" "rattus?" "s" 3 3 3 143 32 14.4 17.6 1.73 34.5 22 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.77 129.83 "2016-03-30" 1 "si" "p" "n" "2016-03-30" NA
"lz11" 1 "2014-09-30" "c4" "t" "los.zapallos" "centro" "rattus?" "s" 3 3 3 96.8 29.5 13.3 16.2 1.64 33.3 21 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.76 85.87 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz11" 1 "2014-09-30" "c4" "t" "los.zapallos" "centro" "rattus?" "s" 3 3 3 96.8 29.5 13.3 16.2 1.64 33.3 21 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.45 3226.48 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz12" 1 "2014-09-30" "o4" "t" "los.zapallos" "natural" "rattus?" "a" 3 3 3 112 30 13.5 16.5 1.68 34 21 "m" "" "d" "" "" "n" "" 0 "n" "" 1.01 2811.73 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz12" 1 "2014-09-30" "o4" "t" "los.zapallos" "natural" "rattus?" "a" 3 3 3 112 30 13.5 16.5 1.68 34 21 "m" "" "d" "" "" "n" "" 0 "n" "" 1.77 99.29 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz13" 1 "2014-10-01" "o5" "t" "los.zapallos" "natural" "scapteromys.aquaticus" "s" 2 2 2 53.9 23 10.5 12.5 1.58 30 19 "f" "" "" "c" "n" "s" "n" 0 "n" "GestaciÛn en etapas tempranas?" 1.88 1471.4 "2014-10-27" 1 "no" "p" "n" "2015-04-23" NA
"lz14" 1 "2014-10-01" "d1" "s" "los.zapallos" "centro" "rattus?" "a" 3 3 3 101.5 29.5 13 16.5 1.65 34 20 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.9 2843.67 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz15" 1 "2014-10-01" "b3" "s" "los.zapallos" "centro" "rattus?" "a" 3 3 3 108 29.8 14 15.8 1.7 34 21 "f" "" "" "c" "n" "s" "n" 0 "n" "⁄tero irrigado" 1.19 3038.88 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz15" 1 "2014-10-01" "b3" "s" "los.zapallos" "centro" "rattus?" "a" 3 3 3 108 29.8 14 15.8 1.7 34 21 "f" "" "" "c" "n" "s" "n" 0 "n" "⁄tero irrigado" 1.73 74.9 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz16" 1 "2014-10-01" "m1" "s" "los.zapallos" "natural" "akodon.azarae" "a" 4 4 4 31.6 17.1 7.3 9.8 1.51 18 15 "m" "a" "d" "" "" "n" "" 0 "n" "" 1.88 943.56 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz17" 1 "2014-10-01" "d2" "s" "los.zapallos" "centro" "rattus?" "a" 3 4 3.5 104.6 29.4 14.2 15.2 1.71 33 18 "m" "e" "d" "" "" "n" "" 0 "n" "" 1.84 2746.57 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz18" 1 "2014-10-01" "b2" "s" "los.zapallos" "centro" "rattus?" "a" 3 2 2.5 94.2 31.5 15 16.5 1.62 35 19 "f" "" "" "p" "n" "s" "n" 0 "n" "⁄tero irrigado" 1.9 1718.3 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz19" 1 "2014-10-01" "b5" "s" "los.zapallos" "centro" "rattus?" "a" 4 4 4 173 32.5 15 17.5 1.8 36 20 "f" "" "" "p" "d" "s" "" 6 "s" "" 1.84 838.52 "2014-10-27" 1 "no" NA "n" "2015-04-23" NA
"lz20" 1 "2014-10-01" "c2" "s" "los.zapallos" "centro" "rattus?" "a" 3 3 3 108.8 34 15.5 18.5 1.61 35 17 "f" "" "" "p" "n" "n" "s" 0 "n" "" 1.33 3199.49 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz20" 1 "2014-10-01" "c2" "s" "los.zapallos" "centro" "rattus?" "a" 3 3 3 108.8 34 15.5 18.5 1.61 35 17 "f" "" "" "p" "n" "n" "s" 0 "n" "" 1.87 101.87 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz21" 1 "2014-10-01" "d5" "t" "los.zapallos" "centro" "rattus?" "s" 3 3 3 100 29.5 14.5 15 1.7 33 24 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.3 3168.16 "2014-10-27" 1 "no" "p" "n" "2015-04-23" "Repetir extracci√≥n"
"lz21" 1 "2014-10-01" "d5" "t" "los.zapallos" "centro" "rattus?" "s" 3 3 3 100 29.5 14.5 15 1.7 33 24 "f" "" "" "c" "n" "n" "n" 0 "n" "" 1.73 97.77 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz22" 1 "2014-10-02" "h4" "s" "los.zapallos" "borde" "akodon.azarae" "a" 3 2 2.5 27.6 17.7 8.3 9.4 1.48 21 15 "f" "" "" "p" "n" "s" "" 5 "n" "" 1.07 3282.96 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz22" 1 "2014-10-02" "h4" "s" "los.zapallos" "borde" "akodon.azarae" "a" 3 2 2.5 27.6 17.7 8.3 9.4 1.48 21 15 "f" "" "" "p" "n" "s" "" 5 "n" "" 1.76 71.87 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz23" 1 "2014-10-02" "g2" "s" "los.zapallos" "borde" "akodon.azarae" "s" 4 3 3.5 16.9 15 6.7 8.3 1.34 18 14 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.73 116.82 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
"lz23" 1 "2014-10-02" "g2" "s" "los.zapallos" "borde" "akodon.azarae" "s" 4 3 3.5 16.9 15 6.7 8.3 1.34 18 14 "f" "" "" "p" "n" "n" "n" 0 "n" "" 1.24 3215.34 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz24" 1 "2014-10-02" "l4" "s" "los.zapallos" "natural" "oligoryzomys" "a" 4 4 4 15.9 19.8 11.8 8 1.33 23 14 "f" "" "" "c" "n" "s" "" 4 "n" "GestaciÛn en etapas tempranas" 1.18 2780.4 "2014-10-27" 1 "no" NA "n" "2015-04-23" "Repetir extracci√≥n"
"lz24" 1 "2014-10-02" "l4" "s" "los.zapallos" "natural" "oligoryzomys" "a" 4 4 4 15.9 19.8 11.8 8 1.33 23 14 "f" "" "" "c" "n" "s" "" 4 "n" "GestaciÛn en etapas tempranas" 1.74 76.54 "2016-03-29" 2 "si" "p" "n" "2016-03-30" NA
