* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-27  Muestras roedores 2.eds
* Experiment Run End Time = 2015-04-27 16:54:12 PM ART
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
C4	8	-12.8558
C4	9	-25.6881
C4	10	-66.6919
C4	11	-50.7964
C4	12	-79.2273
C4	13	-73.4477
C4	14	-94.8474
C4	15	-91.9363
C4	16	-95.6339
C4	17	-51.6029
C4	18	-63.1974
C4	19	-55.3235
C4	20	-46.8469
C4	21	-6.6097
C4	22	-23.6247
C4	23	18.4341
C4	24	8.4623
C4	25	27.4382
C4	26	34.3392
C4	27	63.7491
C4	28	66.0628
C4	29	76.2722
C4	30	93.6121
C4	31	109.1082
C4	32	159.9725
C4	33	210.5356
C4	34	271.9871
C4	35	365.7736
C4	36	563.8123
C4	37	883.3223
C4	38	1467.7789
C4	39	2358.8044
C4	40	3691.3577
C5	1	1226.6459
C5	2	686.343
C5	3	389.4328
C5	4	216.007
C5	5	103.3588
C5	6	-18.396
C5	7	-56.9444
C5	8	-22.8999
C5	9	-61.0791
C5	10	-56.2947
C5	11	-91.2675
C5	12	-112.1237
C5	13	-93.3693
C5	14	-93.7023
C5	15	-50.0739
C5	16	-94.8021
C5	17	-73.8036
C5	18	-74.3663
C5	19	-73.067
C5	20	-63.5792
C5	21	-35.6729
C5	22	-27.7693
C5	23	-18.4812
C5	24	-10.4766
C5	25	11.887
C5	26	-13.3655
C5	27	6.8733
C5	28	17.0828
C5	29	31.2693
C5	30	25.6724
C5	31	35.5599
C5	32	59.1998
C5	33	48.5912
C5	34	83.4169
C5	35	113.1832
C5	36	116.4594
C5	37	179.0912
C5	38	204.8718
C5	39	261.6816
C5	40	335.4946
C6	1	874.8453
C6	2	478.9022
C6	3	259.2477
C6	4	157.4631
C6	5	124.5696
C6	6	18.2452
C6	7	-12.027
C6	8	-49.5526
C6	9	-36.619
C6	10	-54.7022
C6	11	-79.6768
C6	12	-91.0681
C6	13	-103.7611
C6	14	-91.8668
C6	15	-115.3271
C6	16	-102.1615
C6	17	-78.7469
C6	18	-53.1835
C6	19	-57.472
C6	20	-25.9781
C6	21	-5.9078
C6	22	-4.0505
C6	23	-0.4853
C6	24	4.4566
C6	25	34.8275
C6	26	36.4417
C6	27	57.9911
C6	28	88.2603
C6	29	76.7476
C6	30	104.3359
C6	31	129.9962
C6	32	164.8103
C6	33	216.3966
C6	34	250.9314
C6	35	303.0477
C6	36	375.4469
C6	37	525.384
C6	38	711.7927
C6	39	1028.2954
C6	40	1455.2572
C7	1	1188.8539
C7	2	644.0048
C7	3	384.9243
C7	4	203.6714
C7	5	133.6466
C7	6	38.5963
C7	7	-29.8479
C7	8	-38.1475
C7	9	-70.7147
C7	10	-52.6864
C7	11	-104.8127
C7	12	-93.8614
C7	13	-119.9809
C7	14	-113.8424
C7	15	-115.5111
C7	16	-85.5288
C7	17	-98.6734
C7	18	-82.2506
C7	19	-86.0426
C7	20	-58.9771
C7	21	-58.9472
C7	22	-45.5675
C7	23	-29.1795
C7	24	-8.1395
C7	25	-3.6964
C7	26	18.9596
C7	27	30.8453
C7	28	31.5646
C7	29	62.1313
C7	30	53.8022
C7	31	81.9082
C7	32	110.7517
C7	33	145.6061
C7	34	149.6185
C7	35	201.8843
C7	36	272.8579
C7	37	394.6191
C7	38	606.3505
C7	39	964.3453
C7	40	1590.2275
C8	1	811.2255
C8	2	506.8763
C8	3	254.1055
C8	4	122.364
C8	5	53.16
C8	6	2.4561
C8	7	-33.18
C8	8	-38.1503
C8	9	-49.2138
C8	10	-57.8516
C8	11	-62.243
C8	12	-44.5273
C8	13	-65.2119
C8	14	-55.7088
C8	15	-59.4062
C8	16	-70.3543
C8	17	-64.5824
C8	18	-40.6369
C8	19	-44.7393
C8	20	-25.212
C8	21	-14.0338
C8	22	6.4031
C8	23	3.52
C8	24	-13.8007
C8	25	15.7891
C8	26	15.7436
C8	27	32.4137
C8	28	60.635
C8	29	67.0893
C8	30	105.1727
C8	31	115.8172
C8	32	177.6691
C8	33	259.0985
C8	34	349.2102
C8	35	584.4931
C8	36	952.0355
C8	37	1617.6975
C8	38	2664.5122
C8	39	4114.1382
C8	40	5818.1387
D1	1	
D1	2	
D1	3	
D1	4	
D1	5	
D1	6	
D1	7	
D1	8	
D1	9	
D1	10	
D1	11	
D1	12	
D1	13	
D1	14	
D1	15	
D1	16	
D1	17	
D1	18	
D1	19	
D1	20	
D1	21	
D1	22	
D1	23	
D1	24	
D1	25	
D1	26	
D1	27	
D1	28	
D1	29	
D1	30	
D1	31	
D1	32	
D1	33	
D1	34	
D1	35	
D1	36	
D1	37	
D1	38	
D1	39	
D1	40	
D2	1	
D2	2	
D2	3	
D2	4	
D2	5	
D2	6	
D2	7	
D2	8	
D2	9	
D2	10	
D2	11	
D2	12	
D2	13	
D2	14	
D2	15	
D2	16	
D2	17	
D2	18	
D2	19	
D2	20	
D2	21	
D2	22	
D2	23	
D2	24	
D2	25	
D2	26	
D2	27	
D2	28	
D2	29	
D2	30	
D2	31	
D2	32	
D2	33	
D2	34	
D2	35	
D2	36	
D2	37	
D2	38	
D2	39	
D2	40	
D3	1	
D3	2	
D3	3	
D3	4	
D3	5	
D3	6	
D3	7	
D3	8	
D3	9	
D3	10	
D3	11	
D3	12	
D3	13	
D3	14	
D3	15	
D3	16	
D3	17	
D3	18	
D3	19	
D3	20	
D3	21	
D3	22	
D3	23	
D3	24	
D3	25	
D3	26	
D3	27	
D3	28	
D3	29	
D3	30	
D3	31	
D3	32	
D3	33	
D3	34	
D3	35	
D3	36	
D3	37	
D3	38	
D3	39	
D3	40	
D4	1	
D4	2	
D4	3	
D4	4	
D4	5	
D4	6	
D4	7	
D4	8	
D4	9	
D4	10	
D4	11	
D4	12	
D4	13	
D4	14	
D4	15	
D4	16	
D4	17	
D4	18	
D4	19	
D4	20	
D4	21	
D4	22	
D4	23	
D4	24	
D4	25	
D4	26	
D4	27	
D4	28	
D4	29	
D4	30	
D4	31	
D4	32	
D4	33	
D4	34	
D4	35	
D4	36	
D4	37	
D4	38	
D4	39	
D4	40	
D5	1	
D5	2	
D5	3	
D5	4	
D5	5	
D5	6	
D5	7	
D5	8	
D5	9	
D5	10	
D5	11	
D5	12	
D5	13	
D5	14	
D5	15	
D5	16	
D5	17	
D5	18	
D5	19	
D5	20	
D5	21	
D5	22	
D5	23	
D5	24	
D5	25	
D5	26	
D5	27	
D5	28	
D5	29	
D5	30	
D5	31	
D5	32	
D5	33	
D5	34	
D5	35	
D5	36	
D5	37	
D5	38	
D5	39	
D5	40	
D6	1	
D6	2	
D6	3	
D6	4	
D6	5	
D6	6	
D6	7	
D6	8	
D6	9	
D6	10	
D6	11	
D6	12	
D6	13	
D6	14	
D6	15	
D6	16	
D6	17	
D6	18	
D6	19	
D6	20	
D6	21	
D6	22	
D6	23	
D6	24	
D6	25	
D6	26	
D6	27	
D6	28	
D6	29	
D6	30	
D6	31	
D6	32	
D6	33	
D6	34	
D6	35	
D6	36	
D6	37	
D6	38	
D6	39	
D6	40	
D7	1	
D7	2	
D7	3	
D7	4	
D7	5	
D7	6	
D7	7	
D7	8	
D7	9	
D7	10	
D7	11	
D7	12	
D7	13	
D7	14	
D7	15	
D7	16	
D7	17	
D7	18	
D7	19	
D7	20	
D7	21	
D7	22	
D7	23	
D7	24	
D7	25	
D7	26	
D7	27	
D7	28	
D7	29	
D7	30	
D7	31	
D7	32	
D7	33	
D7	34	
D7	35	
D7	36	
D7	37	
D7	38	
D7	39	
D7	40	
D8	1	
D8	2	
D8	3	
D8	4	
D8	5	
D8	6	
D8	7	
D8	8	
D8	9	
D8	10	
D8	11	
D8	12	
D8	13	
D8	14	
D8	15	
D8	16	
D8	17	
D8	18	
D8	19	
D8	20	
D8	21	
D8	22	
D8	23	
D8	24	
D8	25	
D8	26	
D8	27	
D8	28	
D8	29	
D8	30	
D8	31	
D8	32	
D8	33	
D8	34	
D8	35	
D8	36	
D8	37	
D8	38	
D8	39	
D8	40	
E1	1	120.5159
E1	2	73.8834
E1	3	49.8917
E1	4	19.0328
E1	5	24.3973
E1	6	16.3739
E1	7	0.7586
E1	8	4.7263
E1	9	-17.9218
E1	10	-4.3273
E1	11	-15.352
E1	12	-13.886
E1	13	-18.8689
E1	14	-23.7469
E1	15	-9.8858
E1	16	-16.9787
E1	17	-10.4163
E1	18	-11.7839
E1	19	-23.6276
E1	20	-14.0659
E1	21	-19.6895
E1	22	-11.0075
E1	23	-6.982
E1	24	4.0612
E1	25	-7.814
E1	26	7.5736
E1	27	15.9126
E1	28	15.5304
E1	29	22.1197
E1	30	45.976
E1	31	44.7803
E1	32	52.7083
E1	33	92.584
