"Well"	"Cycle"	"Rn"	"delta.RN"
"303"	"LZ05"	23	-923.8425	90.0899
"304"	"LZ05"	24	-932.0614	91.7561
"305"	"LZ05"	25	-937.4921	96.2106
"306"	"LZ05"	26	-930.1971	113.3906
"307"	"LZ05"	27	-930.6362	122.8367
"308"	"LZ05"	28	-936.947	126.411
"309"	"LZ05"	29	-933.4611	139.782
"310"	"LZ05"	30	-952.2018	130.9265
"311"	"LZ05"	31	-935.21	157.8033
"312"	"LZ05"	32	-923.1836	179.7149
"313"	"LZ05"	33	-940.7224	172.0612
"314"	"LZ05"	34	-948.4268	174.2419
"315"	"LZ05"	35	-953.1078	179.446
"316"	"LZ05"	36	-951.3765	191.0625
"317"	"LZ05"	37	-950.8407	201.4833
"318"	"LZ05"	38	-948.1088	214.1004
"319"	"LZ05"	39	-938.6373	233.4569
"320"	"LZ05"	40	-944.2805	237.6989
"641"	"LZ11"	1	-839.5039	-257.2498
"642"	"LZ11"	2	-766.2117	-182.8335
"643"	"LZ11"	3	-692.643	-108.1408
"644"	"LZ11"	4	-623.3524	-37.7261
"645"	"LZ11"	5	-548.7532	37.9972
"646"	"LZ11"	6	-552.3701	35.5043
"647"	"LZ11"	7	-539.3289	49.6696
"648"	"LZ11"	8	-543.0903	47.0323
"649"	"LZ11"	9	-533.6558	57.5909
"650"	"LZ11"	10	-565.0057	27.3651
"651"	"LZ11"	11	-616.1035	-22.6086
"652"	"LZ11"	12	-606.4388	-11.8199
"653"	"LZ11"	13	-623.0764	-27.3334
"654"	"LZ11"	14	-612.0943	-15.2272
"655"	"LZ11"	15	-630.2946	-32.3034
"656"	"LZ11"	16	-646.8389	-47.7236
"657"	"LZ11"	17	-645.4257	-45.1864
"658"	"LZ11"	18	-639.1169	-37.7536
"659"	"LZ11"	19	-664.5406	-62.0532
"660"	"LZ11"	20	-651.1715	-47.56
"661"	"LZ11"	21	-641.7703	-37.0347
"662"	"LZ11"	22	-667.1372	-61.2775
"663"	"LZ11"	23	-681.5293	-74.5455
"664"	"LZ11"	24	-667.3956	-59.2877
"665"	"LZ11"	25	-670.1135	-60.8815
"666"	"LZ11"	26	-660.7277	-50.3717
"667"	"LZ11"	27	-663.4118	-51.9317
"668"	"LZ11"	28	-670.3533	-57.7492
"669"	"LZ11"	29	-686.6394	-72.9112
"670"	"LZ11"	30	-685.2651	-70.4128
"671"	"LZ11"	31	-678.605	-62.6286
"672"	"LZ11"	32	-674.6963	-57.5958
"673"	"LZ11"	33	-674.7738	-56.5493
"674"	"LZ11"	34	-682.8368	-63.4882
"675"	"LZ11"	35	-679.0157	-58.543
"676"	"LZ11"	36	-685.2576	-63.6609
"677"	"LZ11"	37	-676.1429	-53.4221
"678"	"LZ11"	38	-683.2913	-59.4464
"679"	"LZ11"	39	-681.1215	-56.1525
"680"	"LZ11"	40	-685.304	-59.2109
"681"	"LZ13"	1	-944.3526	101.2087
"682"	"LZ13"	2	-999.5468	48.4184
"683"	"LZ13"	3	-1028.3657	22.0033
"684"	"LZ13"	4	-1038.7288	14.0442
"685"	"LZ13"	5	-1052.4254	2.7514
"686"	"LZ13"	6	-1067.5093	-9.9286
"687"	"LZ13"	7	-1065.2954	-5.3109
"688"	"LZ13"	8	-1082.3746	-19.9862
"689"	"LZ13"	9	-1087.8345	-23.0422
"690"	"LZ13"	10	-1090.6671	-23.471
"691"	"LZ13"	11	-1062.2407	7.3593
"692"	"LZ13"	12	-1063.8925	8.1114
"693"	"LZ13"	13	-1061.1902	13.2176
"694"	"LZ13"	14	-1075.7013	1.1103
"695"	"LZ13"	15	-1066.0741	13.1414
"696"	"LZ13"	16	-1072.582	9.0373
"697"	"LZ13"	17	-1071.6199	12.4034
"698"	"LZ13"	18	-1068.5699	17.8572
"699"	"LZ13"	19	-1072.2412	16.5898
"700"	"LZ13"	20	-1075.006	16.2289
"701"	"LZ13"	21	-1068.9866	24.6522
"702"	"LZ13"	22	-1074.6515	21.3911
"703"	"LZ13"	23	-1072.5055	25.941
"704"	"LZ13"	24	-1063.1866	37.6637
"705"	"LZ13"	25	-1060.2194	43.0349
"706"	"LZ13"	26	-1072.5077	33.1504
"707"	"LZ13"	27	-1074.2273	33.8347
"708"	"LZ13"	28	-1071.4954	38.9705
"709"	"LZ13"	29	-1071.3882	41.4815
"710"	"LZ13"	30	-1054.2601	61.0134
"711"	"LZ13"	31	-1068.7504	48.9271
"712"	"LZ13"	32	-1069.2544	50.8269
"713"	"LZ13"	33	-1079.8853	42.5999
"714"	"LZ13"	34	-1074.0453	50.8438
"715"	"LZ13"	35	-1068.7218	58.5711
"716"	"LZ13"	36	-1094.6687	35.0281
"717"	"LZ13"	37	-1075.6006	56.5001
"718"	"LZ13"	38	-1071.0516	63.4529
"719"	"LZ13"	39	-1045.8419	91.0665
"720"	"LZ13"	40	-1031.1986	108.1137
"721"	"LZ07"	1	-634.1739	79.727
