* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-23  Muestras roedores 1.eds
* Experiment Run End Time = Not Started
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
C4	1	136.1561
C4	2	51.8282
C4	3	9.9089
C4	4	10.6213
C4	5	12.7566
C4	6	-2.9494
C4	7	-18.0959
C4	8	-13.8352
C4	9	-4.5408
C4	10	-8.2025
C4	11	-2.3947
C4	12	-6.7415
C4	13	-3.8711
C4	14	10.6545
C4	15	16.6898
C4	16	19.3723
C4	17	35.1102
C4	18	38.2211
C4	19	37.7582
C4	20	46.2046
C4	21	50.7677
C4	22	57.2467
C4	23	61.891
C4	24	74.2829
C4	25	72.4068
C4	26	76.9894
C4	27	92.2619
C4	28	91.9925
C4	29	95.9044
C4	30	89.3488
C4	31	97.3404
C4	32	109.326
C4	33	107.1918
C4	34	118.7906
C4	35	132.2497
C4	36	118.4833
C4	37	131.4842
C4	38	148.7538
C4	39	146.9344
C4	40	172.8186
C5	1	149.1425
C5	2	62.064
C5	3	31.5165
C5	4	22.7719
C5	5	-10.4782
C5	6	-5.6649
C5	7	-24.5791
C5	8	-18.5646
C5	9	-14.928
C5	10	-13.4884
C5	11	-9.2445
C5	12	9.4424
C5	13	1.9952
C5	14	15.3333
C5	15	15.8884
C5	16	24.0305
C5	17	38.0768
C5	18	35.1684
C5	19	39.4665
C5	20	68.1537
C5	21	72.2288
C5	22	70.0347
C5	23	76.6688
C5	24	94.0509
C5	25	114.2775
C5	26	118.922
C5	27	125.4454
C5	28	121.9134
C5	29	136.9319
C5	30	143.3315
C5	31	141.6621
C5	32	160.966
C5	33	166.6712
C5	34	168.0952
C5	35	199.3498
C5	36	185.7465
C5	37	185.3436
C5	38	199.1301
C5	39	216.7079
C5	40	215.0095
C6	1	175.6231
C6	2	68.4965
C6	3	26.3133
C6	4	3.0498
C6	5	7.3254
C6	6	-11.3942
C6	7	-16.7362
C6	8	-18.796
C6	9	0.5018
C6	10	-19.1162
C6	11	6.0283
C6	12	-3.1107
C6	13	7.5003
C6	14	8.237
C6	15	10.1975
C6	16	14.4015
C6	17	22.0688
C6	18	18.0746
C6	19	14.7144
C6	20	24.2781
C6	21	30.5728
C6	22	43.6589
